,ASIN,Title,ProductGroup,ProductTypeName
62,B06XX3RVQ2,"Adidas Youth Big Boys Climalite Field Pant, Black, Medium",Apparel,PANTS
63,B0725JVG3M,"Adidas Big Boys' Athletic Pullover Hoodie, Blue, S",Apparel,SWEATER
64,B075RFMBSH,adidas Kids Unisex Baseline K (Little Kid/Big Kid) Black/White/Gum 3 M US Little Kid,Shoes,SHOES
65,B01MYXU63Q,"Adidas Big Boys' USA Tee, Navy, M",Apparel,SHIRT
66,B01D0R2RY6,"adidas Performance Boys' Crazylight Boost Low 2016 J Skate Shoe, Black/Infrared/Black, 6.5 M US Big Kid",Shoes,SHOES
67,B06XSBZ4T7,"adidas Originals Boys' Superstar Black Iridescent J Sneaker, Black/Black/Black, 6.5 M US Big Kid",Shoes,SHOES
68,B01HG7RI5Y,"adidas Boys Tennis Club Shorts, Black/White, X-Small",Sports,SPORTING_GOODS
69,B01EWP0X82,"adidas Big Boys' Active Hoodie, Granite/Unity Orange, Small/8",Apparel,SWEATER
70,B01EWP1PZM,"adidas Big Boys' Po Tech Fleece Hoodie, Black/Light Scarlet, X-Large/18",Apparel,SWEATER
71,B01N2NEL9A,"adidas Performance Boys' X 17.4 TF J Soccer Shoe, White/Energy Blue/Clear Grey, 12 Medium US Little Kid",Shoes,SHOES
72,B06Y1SDM13,"Adidas Youth Post Route Athletic Pullover Hoodie,Grey/ Sonic Red",Apparel,SWEATER
73,B073QWBF92,Adidas Kid's Stan Smith Pastel FTWWHT/FTWWHT/RAWPIN 4.0,Shoes,SHOES
74,B01MSX5NT7,"adidas Little Boys' Active Tee Shirt, Neon Green, 7X",Apparel,SHIRT
75,B01MYE6XJH,"adidas Performance Unisex-Kids Altasport K Sneaker, Ftwr White, Core Black, Ftwr White, 10.5K M US Little Kid",Shoes,SHOES
76,B01MT1U7KO,adidas Kids Unisex RapidaRun Lux C (Little Kid) Black/White Athletic Shoe,Shoes,SHOES
77,B01ATVIXNA,"adidas Big Boys' Tech Fleece Pant, Blue, X-Large/18",Apparel,PANTS
78,B01HQJS4NM,"adidas Performance Kids' Ace Tango J Indoor Soccer Cleat, White/White/Black, 4 M US Big Kid",Shoes,SHOES
79,B072W94588,Adidas Big Kids Ultra Boost black core black dark grey Size 4.0 US,Shoes,SHOES
80,B01HHAX0MU,"adidas Performance Boys' Alphabounce i Sneaker, Grey/Light Onix/Satellite, 5 M US Toddler",Shoes,SHOES
81,B075CR6WJQ,"adidas Originals Tubular Invader Strap I Fashion Sneaker, Mesa/Mesa/Owhite (Big Kid), 4.5 M US Big Kid",Shoes,SHOES
82,B01HHBP4T6,adidas Kids Boy's RapidaRun (Little Kid/Big Kid) Core Black/Core Black/Energy Athletic Shoe,Shoes,SHOES
83,B076PTQTTZ,Adidas x Pharrell Williams Big Kids Tennis HU J white footwear white tactile green Size 7.0 US,Shoes,SHOES
84,B01AI0TOVW,"adidas Little Boys' Short Sleeve Graphic Tee Shirt, Assorted, 5",Apparel,SHIRT
85,B01N0OQLRR,"adidas Originals Boys' Busenitz J Sneaker, White/Collegiate Royal/Metallic Silver, 13.5 Medium US Big Kid",Shoes,SHOES
86,B01LZ88C6D,BB8880 GRADE SCHOOL TUBULAR SHADOW J ADIDAS WHITE BLACK,Shoes,SHOES
87,B01L9T5GOA,"Adidas Big Boys Youth Game Ready Team Pants, White Black",Apparel,PANTS
88,B01N6WU0NI,"Kidas adidas Ultra Boost J, Triple White, 6Y",Shoes,SHOES
89,B01MTYPTCV,"Adidas Big Boys' Active Tee Shirt, Dark Blue, M",Apparel,SHIRT
